0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:44 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:44 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:44 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:44 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:44 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:44 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:44 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:45 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:53 +0530] "POST /ORSProject3/ctl/RoleListCtl HTTP/1.1" 200 19579
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:53 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:53 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:53 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:53 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:53 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:53 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:58 +0530] "GET /ORSProject3/ctl/StudentListCtl HTTP/1.1" 200 20084
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:58 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:58 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:58 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:58 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:58 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:20:03 +0530] "POST /ORSProject3/ctl/StudentListCtl HTTP/1.1" 200 20088
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:20:03 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:20:03 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:20:03 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:20:03 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:20:03 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:20:03 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:20:10 +0530] "GET /ORSProject3/ctl/MarksheetListCtl HTTP/1.1" 200 29871
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:20:10 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:20:10 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:20:10 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:20:10 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:20:10 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:20:10 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
